canonical,canonical_wires,completion,completion_length,completion_n_wires,completion_max_wire,source_identity,source_identity_length,source_identity_n,window_position_in_source,window_in_source_wires,orientation
012;021,3,123;012;023;021;123,5,4,3,M7-narrow,7,4,4,021;012,forward
012;021,3,134;012;021;134;034,5,5,4,M7-wide,7,5,0,012;021,forward
012;021,3,234;034;012;021;234,5,5,4,M7-wide,7,5,4,021;012,forward
012;021,3,123;013;031;123;032,5,4,3,M7-A,7,4,0,012;021,forward
012;021,3,231;013;032;023;231,5,4,3,M7-A,7,4,4,031;013,forward
012;021,3,213;024;231;043;013;014;213;042;231,9,5,4,M11-wide,11,5,5,024;042,forward
021;102,3,023;102;013;132;012;132;031,7,4,3,M9-A,9,4,6,120;012,forward
021;102,3,130;031;132;021;103;120;031,7,4,3,M9-B,9,4,1,120;012,forward
021;102,3,102;031;132;102;023;102;031;032;132;021,10,4,3,M12,12,4,0,012;120,reverse
021;102,3,102;021;132;032;031;102;023;102;132;031,10,4,3,M12,12,4,1,120;012,forward
021;102,3,132;032;031;102;023;102;132;031;102;021,10,4,3,M12,12,4,11,120;012,forward
021;102,3,013;012;201;103;021;023;120;103;031;210;012,11,4,3,M13,13,4,2,021;102,forward
021;102,3,310;013;103;031;012;013;301;102;031;032;130,11,4,3,M13,13,4,6,031;103,forward
021;102,3,023;012;201;021;120;032;203;210;013;012;203,11,4,3,M13,13,4,12,201;012,reverse
021;102,3,123;130;321;230;312;103;213;321;230;123;012;231;321,13,4,3,M15,15,4,1,210;021,forward
021;102,3,231;120;013;102;213;201;302;230;102;012;320;201;013,13,4,3,M15,15,4,8,310;103,reverse
102;012,3,021;013;012;201;103;021;023;120;103;031;210,11,4,3,M13,13,4,3,102;012,forward
102;012,3,230;302;201;213;102;013;120;231;021;102;013;201;320,13,4,3,M15,15,4,3,310;130,forward
120;021,3,023;130;012;031;120;013;130,7,4,3,M9-B,9,4,8,130;031,forward
120;021,3,210;102;123;120;012;213;102;103;201;213;132,11,4,3,M13,13,4,4,012;210,forward
012;013,4,032;031;023;021,4,4,3,Family-A_3,6,4,0,012;013,forward
012;013,4,023;021;031;032,4,4,3,Family-A_3,6,4,2,021;023,forward
012;013,4,031;032;021;023,4,4,3,Family-A_3,6,4,4,031;032,forward
012;013,4,213;012;021;213;021,5,4,3,M7-narrow,7,4,0,012;013,forward
012;013,4,042;031;021;034;024;043,6,5,4,M8,8,5,6,321;320,forward
012;013,4,301;032;321;031;321;023;301,7,4,3,M9-A,9,4,5,123;120,forward
012;013,4,134;034;024;031;134;124;021;124,8,5,4,M10,10,5,2,312;314,forward
012;013,4,413;024;431;041;014;413;042;431;023,9,5,4,M11-wide,11,5,10,023;021,forward
012;013,4,203;031;203;213;012;203;032;203;032;213,10,4,3,M12,12,4,8,130;132,forward
012;013,4,034;024;314;423;013;021;043;024;423;314,10,5,4,M12-wide,12,5,5,043;042,forward
012;013,4,201;103;021;023;120;103;031;210;012;102;021,11,4,3,M13,13,4,0,012;013,forward
012;013,4,310;302;023;130;031;301;013;032;031;103;302,11,4,3,M13,13,4,9,023;021,forward
012;031,4,013;023;021;032,4,4,3,Family-A_3,6,4,1,013;021,forward
012;031,4,013;312;013;031;312,5,4,3,M7-narrow,7,4,1,013;021,forward
