move,size,frac_ge3,frac_ge2,frac_ge5,span_med,arm
2000000,591248,0.4919,0.914,0.2134,360,fr_r1.75_b3_c1
4000000,586051,0.4824,0.8582,0.2206,319.0,fr_r1.75_b3_c1
6000000,583231,0.4738,0.8285,0.2237,299.0,fr_r1.75_b3_c1
8000000,581101,0.4678,0.8096,0.2252,291.0,fr_r1.75_b3_c1
10000000,579692,0.4628,0.7965,0.2262,283,fr_r1.75_b3_c1
12000000,579180,0.4592,0.7864,0.2274,281,fr_r1.75_b3_c1
14000000,578882,0.4567,0.7783,0.2279,279,fr_r1.75_b3_c1
16000000,579540,0.4546,0.7717,0.2292,278,fr_r1.75_b3_c1
18000000,580259,0.4529,0.7658,0.2308,276.0,fr_r1.75_b3_c1
20000000,581176,0.4512,0.761,0.2321,277,fr_r1.75_b3_c1
22000000,582388,0.4502,0.7567,0.2332,276,fr_r1.75_b3_c1
24000000,583687,0.4491,0.7531,0.2345,277,fr_r1.75_b3_c1
2000000,729298,0.596,0.9761,0.3239,552.0,fr_r2.25_b3_c1
4000000,744103,0.587,0.9371,0.3362,541,fr_r2.25_b3_c1
6000000,740941,0.5771,0.9092,0.3351,509.0,fr_r2.25_b3_c1
8000000,737820,0.5677,0.8913,0.3333,489,fr_r2.25_b3_c1
10000000,736013,0.5604,0.8777,0.3316,479.0,fr_r2.25_b3_c1
12000000,733979,0.5543,0.8669,0.3301,471.0,fr_r2.25_b3_c1
14000000,732773,0.5491,0.8584,0.3284,464,fr_r2.25_b3_c1
16000000,731777,0.5451,0.8509,0.3274,460.0,fr_r2.25_b3_c1
18000000,731460,0.5421,0.8453,0.3267,456,fr_r2.25_b3_c1
20000000,730489,0.5388,0.8404,0.3258,453,fr_r2.25_b3_c1
22000000,730196,0.5361,0.8358,0.325,452,fr_r2.25_b3_c1
24000000,730436,0.5341,0.8318,0.3246,453.5,fr_r2.25_b3_c1
26000000,730689,0.5327,0.8282,0.3242,452,fr_r2.25_b3_c1
28000000,731316,0.5313,0.8254,0.3244,452.0,fr_r2.25_b3_c1
30000000,731892,0.5299,0.8228,0.3245,451.0,fr_r2.25_b3_c1
32000000,732688,0.5287,0.8203,0.325,452.0,fr_r2.25_b3_c1
2000000,742019,0.6051,0.9789,0.3338,568.0,fr_r2.5_b3_c1
4000000,818263,0.624,0.9611,0.3802,649,fr_r2.5_b3_c1
6000000,818966,0.614,0.937,0.3807,622.0,fr_r2.5_b3_c1
8000000,815701,0.6052,0.9191,0.3776,597,fr_r2.5_b3_c1
10000000,813629,0.5978,0.9063,0.3747,583.0,fr_r2.5_b3_c1
12000000,811389,0.5913,0.896,0.3721,573.0,fr_r2.5_b3_c1
14000000,809887,0.5862,0.8876,0.3701,566,fr_r2.5_b3_c1
16000000,808799,0.5819,0.8801,0.3685,562,fr_r2.5_b3_c1
18000000,808090,0.5779,0.874,0.3669,559.0,fr_r2.5_b3_c1
20000000,806863,0.5747,0.869,0.3656,555,fr_r2.5_b3_c1
22000000,806164,0.5718,0.8646,0.3648,554.0,fr_r2.5_b3_c1
24000000,805125,0.5692,0.8607,0.3639,553,fr_r2.5_b3_c1
26000000,804741,0.567,0.8572,0.3628,549.0,fr_r2.5_b3_c1
28000000,804666,0.5647,0.8544,0.3621,548,fr_r2.5_b3_c1
30000000,804781,0.5633,0.8518,0.3615,546.0,fr_r2.5_b3_c1
32000000,805070,0.5616,0.849,0.3611,546.0,fr_r2.5_b3_c1
34000000,805587,0.5604,0.8469,0.3608,546,fr_r2.5_b3_c1
36000000,806020,0.559,0.8445,0.3607,544.0,fr_r2.5_b3_c1
