move,size,families,frac_ge2,frac_ge3,frac_ge5,span_med,span_mean,span_p90
1000000,627340,179115,0.9828,0.5361,0.2363,404.0,1377.0,3886.0
2000000,668748,178927,0.9549,0.5548,0.2775,464,1591.0,4532.8
3000000,667946,178453,0.9256,0.5473,0.2811,444.0,1596.0,4595.0
4000000,665580,177904,0.9028,0.5418,0.2821,423,1583.0,4603.0
5000000,663164,177375,0.8868,0.5362,0.2823,409,1573.0,4601.0
6000000,661871,176861,0.875,0.5315,0.2819,397,1561.0,4579.4
7000000,660819,176412,0.8648,0.5273,0.2822,387.0,1554.0,4569.0
8000000,659257,176038,0.8557,0.5225,0.2818,379.0,1548.0,4573.0
9000000,658702,175681,0.8485,0.5192,0.2814,375,1547.0,4575.0
10000000,658051,175342,0.8423,0.5169,0.2813,372,1545.0,4578.4
11000000,657216,175044,0.8366,0.5141,0.2813,369.0,1546.0,4592.1
12000000,656423,174752,0.8317,0.5118,0.2806,368.0,1546.0,4597.0
13000000,655760,174503,0.827,0.5097,0.2807,366.0,1547.0,4594.0
14000000,656104,174255,0.8232,0.5086,0.2811,366,1546.0,4602.0
15000000,655206,174000,0.8199,0.5066,0.2801,362.0,1545.0,4601.0
16000000,654995,173804,0.8167,0.5048,0.2801,362,1544.0,4608.6
17000000,655290,173598,0.8139,0.5034,0.2804,361.0,1542.0,4617.0
18000000,655326,173394,0.8113,0.5022,0.2804,359,1541.0,4606.0
19000000,655318,173226,0.8085,0.5008,0.2804,360,1545.0,4614.0
20000000,655675,173039,0.8061,0.4999,0.2807,359.0,1548.0,4631.0
21000000,655902,172852,0.804,0.499,0.281,360.0,1551.0,4652.1
21785058,656120,172717,0.8023,0.4983,0.2812,409,1419.0,4020.0
