arm,r,b,c,t,size,origins_alive,cnt_med,cnt_mean,cnt_p90,singleton_frac,span_med,span_mean,span_p90,multi_fams
xp_r1.5_b1.2_c2_t100,1.5,1.2,2,100,546152,167756,2.0,3.26,7.0,0.2509,273,1022.0,2806.0,125663
xp_r1.5_b1.2_c2_t25,1.5,1.2,2,25,546595,167541,2,3.26,7.0,0.2518,273,1019.0,2795.8,125361
xp_r1.5_b1.2_c2_t8,1.5,1.2,2,8,541796,167176,2.0,3.24,7.0,0.2541,267,1012.0,2790.0,124703
xp_r1.5_b1.2_c3_t100,1.5,1.2,3,100,547181,167288,2.0,3.27,7.0,0.2559,269,1015.0,2792.2,124477
xp_r1.5_b1.2_c3_t25,1.5,1.2,3,25,549561,167189,2,3.29,7.0,0.2539,272,1022.0,2822.0,124737
xp_r1.5_b1.2_c3_t8,1.5,1.2,3,8,551389,167286,2.0,3.3,7.0,0.2573,271,1030.0,2842.0,124249
xp_r1.5_b1.2_c4_t100,1.5,1.2,4,100,547720,167169,2,3.28,7.0,0.2591,269,1013.0,2775.4,123855
xp_r1.5_b1.2_c4_t25,1.5,1.2,4,25,552264,167169,2,3.3,7.0,0.2563,268.0,1027.0,2809.0,124328
xp_r1.5_b1.2_c4_t8,1.5,1.2,4,8,556032,167156,2.0,3.33,7.0,0.2596,271,1033.0,2835.8,123761
xp_r1.5_b1.5_c2_t100,1.5,1.5,2,100,544154,168378,2.0,3.23,7.0,0.2369,278,1031.0,2845.0,128485
xp_r1.5_b1.5_c2_t25,1.5,1.5,2,25,539183,168155,2,3.21,7.0,0.24,276.0,1024.0,2801.0,127806
xp_r1.5_b1.5_c2_t8,1.5,1.5,2,8,521115,167381,2,3.11,6.0,0.2509,261.0,980.0,2679.9,125380
xp_r1.5_b1.5_c3_t100,1.5,1.5,3,100,546299,167650,2.0,3.26,7.0,0.2471,276.0,1027.0,2805.0,126220
xp_r1.5_b1.5_c3_t25,1.5,1.5,3,25,546373,167448,2.0,3.26,7.0,0.2498,275.0,1026.0,2814.0,125616
xp_r1.5_b1.5_c3_t8,1.5,1.5,3,8,539891,166874,2.0,3.24,7.0,0.2529,269,1013.0,2784.0,124679
xp_r1.5_b1.5_c4_t100,1.5,1.5,4,100,547123,167416,2.0,3.27,7.0,0.2552,273,1019.0,2802.0,124697
xp_r1.5_b1.5_c4_t25,1.5,1.5,4,25,547009,168537,2,3.25,7.0,0.2487,266,1009.0,2783.2,126627
xp_r1.5_b1.5_c4_t8,1.5,1.5,4,8,546248,168060,2.0,3.25,7.0,0.2536,267,1004.0,2749.2,125447
xp_r1.5_b1.8_c2_t100,1.5,1.8,2,100,542444,168849,2,3.21,7.0,0.2308,284.0,1040.0,2877.0,129878
xp_r1.5_b1.8_c2_t25,1.5,1.8,2,25,533303,168688,2.0,3.16,7.0,0.2335,272.0,1010.0,2785.9,129300
xp_r1.5_b1.8_c2_t8,1.5,1.8,2,8,510038,167938,2.0,3.04,6.0,0.2447,254,952.0,2605.2,126847
xp_r1.5_b1.8_c3_t100,1.5,1.8,3,100,543583,169818,2.0,3.2,7.0,0.2328,270,1016.0,2803.0,130283
xp_r1.5_b1.8_c3_t25,1.5,1.8,3,25,539728,169454,2.0,3.19,7.0,0.236,269,1001.0,2772.0,129469
xp_r1.5_b1.8_c3_t8,1.5,1.8,3,8,527820,169248,2.0,3.12,7.0,0.2409,258.0,975.0,2680.9,128470
xp_r1.5_b1.8_c4_t100,1.5,1.8,4,100,544431,170364,2.0,3.2,7.0,0.2356,265.0,986.0,2703.0,130228
xp_r1.5_b1.8_c4_t25,1.5,1.8,4,25,543388,169807,2,3.2,7.0,0.2358,261.0,991.0,2715.0,129760
xp_r1.5_b1.8_c4_t8,1.5,1.8,4,8,537479,169936,2.0,3.16,7.0,0.2381,258,968.0,2651.0,129467
xp_r1.5_b2_c1_t25,1.5,2,1,25,521008,167141,2,3.12,6.0,0.2392,276,1022.0,2828.0,127169
xp_r1.5_b3_c1_t25,1.5,3,1,25,505532,167076,2.0,3.03,6.0,0.2372,266,994.0,2769.0,127447
xp_r1.6_b1.5_c3_t25,1.6,1.5,3,25,583409,168195,2,3.47,8.0,0.2374,310.0,1139.0,3138.0,128268
xp_r1.75_b1.5_c3_t25,1.75,1.5,3,25,636735,169804,2.0,3.75,8.0,0.2194,356.0,1281.0,3562.0,132554
xp_r1.9_b1.5_c3_t25,1.9,1.5,3,25,690618,170950,2.0,4.04,9.0,0.203,406,1424.0,3964.0,136251
xp_r2.0_b1.2_c2_t100,2.0,1.2,2,100,723313,175011,2,4.13,9.0,0.1607,419,1444.0,4025.0,146887
xp_r2.0_b1.2_c2_t25,2.0,1.2,2,25,715926,175203,2,4.09,9.0,0.1586,407.0,1422.0,3952.0,147412
xp_r2.0_b1.2_c2_t8,2.0,1.2,2,8,694773,174646,2.0,3.98,9.0,0.1706,391,1369.0,3815.0,144847
xp_r2.0_b1.2_c3_t100,2.0,1.2,3,100,724342,175355,2,4.13,9.0,0.1588,408,1428.0,3974.8,147501
xp_r2.0_b1.2_c3_t25,2.0,1.2,3,25,719634,175438,2.0,4.1,9.0,0.158,405.0,1421.0,3938.5,147724
xp_r2_b2_c1_t25,2,2,1,25,680808,172231,2,3.95,9.0,0.1761,429.0,1468.0,4167.0,141898
xp_r2_b3_c1_t25,2,3,1,25,655807,172829,3,3.79,8.0,0.1691,413.0,1417.0,4001.0,143610
